i,j,vx,vy,tipo_nodo
55,6,0.461452,0.000000,Fluido Libre
55,7,0.000000,0.000000,Pared
56,0,0.000000,0.000000,Pared
56,1,0.464569,0.000000,Fluido Libre
56,2,0.771153,0.000000,Fluido Libre
56,3,0.923212,0.000000,Fluido Libre
56,4,0.923291,0.000000,Fluido Libre
56,5,0.771319,0.000000,Fluido Libre
56,6,0.464689,0.000000,Fluido Libre
56,7,0.000000,0.000000,Pared
57,0,0.000000,0.000000,Pared
57,1,0.467289,0.000000,Fluido Libre
57,2,0.776227,0.000000,Fluido Libre
57,3,0.929661,0.000000,Fluido Libre
57,4,0.929705,0.000000,Fluido Libre
57,5,0.776321,0.000000,Fluido Libre
57,6,0.467357,0.000000,Fluido Libre
57,7,0.000000,0.000000,Pared
58,0,0.000000,0.000000,Pared
58,1,0.469519,0.000000,Fluido Libre
58,2,0.780389,0.000000,Fluido Libre
58,3,0.934960,0.000000,Fluido Libre
58,4,0.934985,0.000000,Fluido Libre
58,5,0.780442,0.000000,Fluido Libre
58,6,0.469557,0.000000,Fluido Libre
58,7,0.000000,0.000000,Pared
59,0,0.000000,0.000000,Pared
59,1,0.471350,0.000000,Fluido Libre
59,2,0.783811,0.000000,Fluido Libre
59,3,0.939321,0.000000,Fluido Libre
59,4,0.939336,0.000000,Fluido Libre
59,5,0.783841,0.000000,Fluido Libre
59,6,0.471372,0.000000,Fluido Libre
59,7,0.000000,0.000000,Pared
60,0,0.000000,0.000000,Pared
60,1,0.472856,0.000000,Fluido Libre
60,2,0.786627,0.000000,Fluido Libre
60,3,0.942914,0.000000,Fluido Libre
60,4,0.942922,0.000000,Fluido Libre
60,5,0.786644,0.000000,Fluido Libre
60,6,0.472868,0.000000,Fluido Libre
60,7,0.000000,0.000000,Pared
61,0,0.000000,0.000000,Pared
61,1,0.474097,0.000000,Fluido Libre
61,2,0.788949,0.000000,Fluido Libre
61,3,0.945878,0.000000,Fluido Libre
61,4,0.945882,0.000000,Fluido Libre
61,5,0.788958,0.000000,Fluido Libre
61,6,0.474104,0.000000,Fluido Libre
61,7,0.000000,0.000000,Pared
62,0,0.000000,0.000000,Pared
62,1,0.475121,0.000000,Fluido Libre
62,2,0.790864,0.000000,Fluido Libre
62,3,0.948323,0.000000,Fluido Libre
62,4,0.948326,0.000000,Fluido Libre
62,5,0.790869,0.000000,Fluido Libre
62,6,0.475124,0.000000,Fluido Libre
62,7,0.000000,0.000000,Pared
63,0,0.000000,0.000000,Pared
63,1,0.475965,0.000000,Fluido Libre
63,2,0.792444,0.000000,Fluido Libre
63,3,0.950343,0.000000,Fluido Libre
63,4,0.950344,0.000000,Fluido Libre
63,5,0.792448,0.000000,Fluido Libre
63,6,0.475967,0.000000,Fluido Libre
63,7,0.000000,0.000000,Pared
64,0,0.000000,0.000000,Pared
64,1,0.476663,0.000000,Fluido Libre
64,2,0.793750,0.000000,Fluido Libre
64,3,0.952011,0.000000,Fluido Libre
64,4,0.952012,0.000000,Fluido Libre
64,5,0.793752,0.000000,Fluido Libre
64,6,0.476664,0.000000,Fluido Libre
64,7,0.000000,0.000000,Pared
65,0,0.000000,0.000000,Pared
65,1,0.477239,0.000000,Fluido Libre
65,2,0.794829,0.000000,Fluido Libre
65,3,0.953390,0.000000,Fluido Libre
65,4,0.953391,0.000000,Fluido Libre
65,5,0.794830,0.000000,Fluido Libre
65,6,0.477240,0.000000,Fluido Libre
65,7,0.000000,0.000000,Pared
66,0,0.000000,0.000000,Pared
66,1,0.477716,0.000000,Fluido Libre
66,2,0.795722,0.000000,Fluido Libre
66,3,0.954530,0.000000,Fluido Libre
66,4,0.954531,0.000000,Fluido Libre
66,5,0.795722,0.000000,Fluido Libre
66,6,0.477716,0.000000,Fluido Libre
66,7,0.000000,0.000000,Pared
67,0,0.000000,0.000000,Pared
67,1,0.478110,0.000000,Fluido Libre
67,2,0.796459,0.000000,Fluido Libre
67,3,0.955473,0.000000,Fluido Libre
67,4,0.955473,0.000000,Fluido Libre
67,5,0.796460,0.000000,Fluido Libre
67,6,0.478110,0.000000,Fluido Libre
67,7,0.000000,0.000000,Pared
68,0,0.000000,0.000000,Pared
68,1,0.478435,0.000000,Fluido Libre
68,2,0.797069,0.000000,Fluido Libre
68,3,0.956253,0.000000,Fluido Libre
68,4,0.956253,0.000000,Fluido Libre
68,5,0.797070,0.000000,Fluido Libre
68,6,0.478436,0.000000,Fluido Libre
68,7,0.000000,0.000000,Pared
69,0,0.000000,0.000000,Pared
69,1,0.478705,0.000000,Fluido Libre
